50
42 68
18 41 35
1 13 25
36 21 63
28 14 46
14 30 62
19 40 43
39 31 92
35 41 54
21 27 22
13 30 96
22 31 72
8 6 13
18 25 36
10 33 12
22 3 74
23 30 12
29 9 48
8 4 58
20 40 24
12 11 79
37 37 91
39 11 7
21 11 65
10 15 6
13 21 71
21 34 2
19 24 30
39 25 55
30 27 67
16 19 9
36 26 27
25 33 39
4 36 30
7 20 16
34 19 5
1 6 7
3 18 22
34 13 73
16 34 78
19 5 13
12 31 62
35 10 68
9 41 32
11 16 51
28 29 67
40 32 92
34 24 58
6 36 84
30 15 10
41 39 89
34 11 7
42 19 69
23 18 63
42 31 60
2 16 49
33 33 42
9 9 92
40 19 21
13 16 49
31 8 85
1 26 54
9 13 39
33 6 28
14 37 94
31 28 8
23 8 18
36 15 10
42 21 52
20 57
5 4 99
10 5 9
16 3 90
4 14 86
15 8 24
1 9 4
1 19 59
2 19 97
10 19 90
3 13 58
19 13 39
18 11 80
16 12 59
12 17 89
13 15 3
7 9 56
16 7 63
3 10 34
2 17 45
12 3 99
18 20 22
10 13 77
1 13 76
10 4 11
2 9 62
4 16 90
3 6 3
7 9 86
13 18 18
15 10 33
17 10 22
13 9 30
15 16 26
13 2 50
19 1 46
4 20 54
8 17 80
18 10 30
14 10 67
17 18 96
9 6 87
15 16 83
17 2 15
4 7 72
6 16 14
9 13 54
14 6 33
19 2 57
2 3 47
3 17 45
16 2 30
7 14 51
13 20 45
5 14 40
6 11 55
14 7 50
9 3 75
19 88
1 4 6
11 16 3
4 5 15
15 16 35
8 16 60
14 7 88
9 9 78
17 9 64
7 6 86
15 9 14
4 14 100
4 6 44
8 9 73
7 16 4
17 2 94
9 10 93
16 12 87
13 1 88
6 2 75
9 16 36
13 11 61
8 11 86
3 17 95
15 17 20
7 11 95
5 9 72
6 7 94
11 3 19
19 8 53
5 8 61
5 4 58
17 18 77
18 2 59
2 6 83
16 14 88
6 16 26
2 2 29
10 10 3
19 14 97
11 17 96
4 9 61
18 16 31
12 9 72
18 13 54
9 17 25
5 9 41
6 7 30
6 4 59
4 2 8
5 18 59
7 16 61
5 17 78
13 4 88
17 9 61
5 7 85
11 15 12
15 12 57
18 8 24
10 12 17
2 1 27
7 6 72
16 8 97
1 7 13
9 7 86
6 5 30
10 3 60
15 8 56
5 19 85
6 7 73
5 19 33
8 19 84
2 11 68
8 1 39
18 14 55
4 9 76
12 11 22
16 6 35
12 14 51
5 15 2
9 11 38
18 12 94
17 4 63
17 12 1
14 4 56
3 5 63
5 18 25
1 6 44
2 4 41
73 19
41 69 11
30 36 13
63 39 32
7 38 86
35 3 90
37 43 54
17 72 41
24 73 36
64 7 6
51 34 4
12 20 9
12 65 50
50 44 28
1 70 30
19 16 75
38 70 16
54 56 93
43 65 93
70 69 29
76 87
56 43 99
48 1 48
7 16 22
56 43 64
5 1 90
14 20 43
51 17 92
50 67 33
76 20 76
76 47 23
8 45 85
56 38 65
67 61 46
63 22 79
18 2 20
73 54 45
47 49 46
52 26 71
21 1 33
48 71 88
60 4 2
66 49 28
29 18 16
37 40 44
66 22 44
46 34 64
1 19 89
11 18 61
11 65 55
76 46 91
65 9 31
36 53 68
62 3 36
18 50 39
12 17 25
67 34 60
63 60 45
50 28 27
54 70 56
16 41 97
20 11 65
37 31 14
59 69 49
34 30 7
31 18 5
74 72 13
69 1 66
67 35 42
73 41 57
64 39 39
67 68 16
36 34 42
7 7 38
51 39 51
61 18 94
43 25 53
40 59 34
45 8 35
6 29 49
13 54 14
39 29 1
64 35 59
48 65 62
6 4 77
66 66 3
50 67 49
7 17 75
66 32 24
9 44 79
60 32 20
57 54 46
6 6 93
31 42 99
27 38 39
45 3 62
34 8 62
10 38 16
33 59 70
70 45 72
64 8 16
41 76 31
55 39 89
13 39 86
24 21 75
28 6 52
59 11 80
38 29 74
33 57
10 11 90
8 17 42
6 29 64
23 7 79
16 30 86
18 32 34
3 27 96
7 21 77
8 10 99
19 18 87
11 4 50
19 11 80
19 16 6
23 7 17
33 28 88
16 11 41
26 4 63
17 22 10
17 31 74
11 17 46
26 22 32
30 26 19
23 19 8
